;wojewodztwo;zgony;wyleczeni;zakazeni;lat;lng;populacja
1;mazowieckie;181;585;2376;52.15;21.01;5349.1
2;slaskie;99;210;1929;50.253118;19.029845;4570.8
3;dolnoslaskie;41;146;1412;51.110359;17.032347;2904.2
4;wielkopolskie;82;204;1343;52.406363;16.925176;3475.3
5;lodzkie;21;287;890;52.15;21.01;2493.6
6;malopolskie;29;173;841;50.253118;19.029845;3372.6
7;kujawsko-pomorskie;26;125;483;51.110359;17.032347;2086.2
8;opolskie;26;23;374;52.406363;16.925176;996
9;zachodniopomorskie;9;99;370;52.15;21.01;1710.5
10;podlaskie;3;140;365;50.253118;19.029845;1188.8
11;pomorskie;5;105;357;51.110359;17.032347;2307.7
12;lubelskie;13;148;352;52.406363;16.925176;2139.7
13;podkarpackie;18;180;316;52.15;21.01;2127.6
14;swietokrzyskie;7;58;261;50.253118;19.029845;1257.2
15;warminsko-mazurskie;1;83;144;51.110359;17.032347;1439.7
16;lubuskie;0;55;87;52.406363;16.925176;1018
